192,2105,3671,    ,    ,    ,    
193,8150,3670,    ,    ,    ,    
194,6147,3640,    ,    ,    ,    
195,2379,3637,    ,    ,    ,    
196,4977,3578,    ,    ,    ,    
197,6669,3542,    ,    ,    ,    
198,4102,3540,    ,    ,    ,    
199,2492,3496,    ,    ,    ,    
200,8086,3491,    ,    ,    ,    
201,6415,3471,    ,    ,    ,    
202,1102,3416,    ,    ,    ,    
203,3380,3348,    ,    ,    ,    
204,6643,3324,    ,    ,    ,    
205,2323,3321,    ,    ,    ,    
206,6133,3309,    ,    ,    ,    
207,830,3267,    ,    ,    ,    
208,902,3134,    ,    ,    ,    
209,6285,3125,    ,    ,    ,    
210,6125,3084,    ,    ,    ,    
211,2439,3068,    ,    ,    ,    
212,2352,3040,    ,    ,    ,    
213,6589,3029,    ,    ,    ,    
214,6488,2980,    ,    ,    ,    
215,9919,2979,    ,    ,    ,    
216,895,2970,    ,    ,    ,    
217,3141,2961,    ,    ,    ,    
218,2399,2951,    ,    ,    ,    
219,3714,2948,    ,    ,    ,    
220,2634,2894,    ,    ,    ,    
221,3673,2874,    ,    ,    ,    
222,3356,2825,    ,    ,    ,    
223,6461,2744,    ,    ,    ,    
224,1536,2700,    ,    ,    ,    
225,6477,2698,    ,    ,    ,    
226,692,2694,    ,    ,    ,    
227,8044,2673,    ,    ,    ,    
228,6176,2672,    ,    ,    ,    
229,2481,2668,    ,    ,    ,    
230,3532,2659,    ,    ,    ,    
231,8021,2650,    ,    ,    ,    
232,5388,2644,    ,    ,    ,    
233,1522,2637,    ,    ,    ,    
234,3665,2611,    ,    ,    ,    
235,3702,2609,    ,    ,    ,    
236,6271,2609,    ,    ,    ,    
237,2809,2608,    ,    ,    ,    
238,9802,2608,    ,    ,    ,    
239,3045,2603,    ,    ,    ,    
240,9904,2582,    ,    ,    ,    
241,2542,2554,    ,    ,    ,    
242,3653,2468,    ,    ,    ,    
243,6235,2455,    ,    ,    ,    
244,2383,2434,    ,    ,    ,    
245,1319,2409,    ,    ,    ,    
246,752,2391,    ,    ,    ,    
247,00852L,2388,    ,    ,    ,    
248,2402,2382,    ,    ,    ,    
249,00634R,2377,    ,    ,    ,    
250,01010T,2282,    ,    ,    ,    
251,8454,2252,    ,    ,    ,    
252,2340,2229,    ,    ,    ,    
253,5386,2229,    ,    ,    ,    
254,2419,2227,    ,    ,    ,    
255,9958,2217,    ,    ,    ,    
256,2812,2202,    ,    ,    ,    
257,2515,2195,    ,    ,    ,    
258,3703,2189,    ,    ,    ,    
259,4960,2184,    ,    ,    ,    
260,2528,2177,    ,    ,    ,    
261,3596,2169,    ,    ,    ,    
262,8050,2143,    ,    ,    ,    
263,2607,2124,    ,    ,    ,    
264,1439,2124,    ,    ,    ,    
265,712,2113,    ,    ,    ,    
266,2347,2112,    ,    ,    ,    
267,00706L,2109,    ,    ,    ,    
268,5410,2108,    ,    ,    ,    
269,6153,2106,    ,    ,    ,    
270,5608,2103,    ,    ,    ,    
271,3529,2073,    ,    ,    ,    
272,3049,2057,    ,    ,    ,    
273,2474,2048,    ,    ,    ,    
274,00680L,2047,    ,    ,    ,    
275,00651R,2038,    ,    ,    ,    
276,2354,2038,    ,    ,    ,    
277,00642U,2033,    ,    ,    ,    
278,2421,2019,    ,    ,    ,    
279,2606,2011,    ,    ,    ,    
280,9105,2006,    ,    ,    ,    
281,1736,1997,    ,    ,    ,    
282,713,1992,    ,    ,    ,    
283,00772B,1988,    ,    ,    ,    
284,6274,1984,    ,    ,    ,    
285,00683L,1980,    ,    ,    ,    
286,5309,1979,    ,    ,    ,    
287,2883B,1972,    ,    ,    ,    
288,6505,1970,    ,    ,    ,    
289,2458,1960,    ,    ,    ,    
290,2023,1957,    ,    ,    ,    
291,2377,1952,    ,    ,    ,    
292,2413,1950,    ,    ,    ,    
293,2457,1932,    ,    ,    ,    
294,2605,1914,    ,    ,    ,    
295,3504,1889,    ,    ,    ,    
296,9907,1888,    ,    ,    ,    
297,9939,1879,    ,    ,    ,    
298,6603,1876,    ,    ,    ,    
299,5353,1870,    ,    ,    ,    
300,00656R,1864,    ,    ,    ,    
301,6719,1842,,,,
302,6279,1814,,,,
303,4114,1794,,,,
304,8261,1789,,,,
305,6282,1786,,,,
306,2331,1777,,,,
307,3494,1731,,,,
308,9933,1706,,,,
309,3207,1705,,,,
310,1722,1694,,,,
311,6290,1688,,,,
312,9941,1683,,,,
313,3552,1677,,,,
314,2328,1670,,,,
315,2633,1658,,,,
316,4966,1655,,,,
317,3515,1651,,,,
318,1308,1645,,,,
319,3346,1639,,,,
320,8097,1633,,,,
321,4958,1629,,,,
322,8040,1614,,,,
323,897,1611,,,,
324,2363,1607,,,,
325,6217,1585,,,,
326,3675,1580,,,,
327,2484,1573,,,,
328,1712,1563,,,,
329,8016,1548,,,,
330,3710,1547,,,,
331,2476,1542,,,,
332,3324,1539,,,,
333,8299,1538,,,,
334,00666R,1525,,,,
335,3535,1525,,,,
336,1519,1524,,,,
337,4168,1518,,,,
338,3533,1511,,,,
339,2329,1511,,,,
340,1714,1484,,,,
341,8222,1481,,,,
342,9938,1452,,,,
343,3362,1450,,,,
344,3149,1449,,,,
345,6118,1433,,,,
346,2357,1423,,,,
347,2441,1412,,,,
348,2351,1407,,,,
349,6245,1400,,,,
350,3044,1390,,,,
351,6120,1374,,,,
352,1517,1373,,,,
353,917,1367,,,,
354,1529,1364,,,,
355,2406,1362,,,,
356,6456,1344,,,,
357,2601,1333,,,,
358,6257,1331,,,,
359,6666,1329,,,,
360,00675L,1314,,,,
361,6129,1298,,,,
362,1210,1281,,,,
363,5225,1281,,,,
364,3296,1280,,,,
365,1514,1276,,,,
366,1717,1275,,,,
367,3374,1260,,,,
368,5607,1259,,,,
369,2358,1247,,,,
370,1618,1244,,,,
371,5243,1231,,,,
372,4157,1230,,,,
373,2206,1228,,,,
374,1304,1226,,,,
375,4906,1220,,,,
376,916,1219,,,,
377,2641,1218,,,,
378,636,1212,,,,
379,6127,1211,,,,
380,8114,1206,,,,
381,888,1204,,,,
382,2006,1199,,,,
383,1609,1187,,,,
384,894,1182,,,,
385,00710B,1171,,,,
386,8255,1162,,,,
387,2743,1158,,,,
388,2530,1148,,,,
389,5269,1143,,,,
390,6789,1142,,,,
391,6578,1137,,,,
392,00773B,1134,,,,
393,6781,1111,,,,
394,3680,1100,,,,
395,2049,1099,,,,
396,3016,1098,,,,
397,00720B,1096,,,,
398,1718,1095,,,,
399,3682,1093,,,,
400,5274,1093,,,,
401,904,1082,,,,
402,6446,1080,,,,
403,2405,1079,,,,
404,8147,1079,,,,
405,731,1078,,,,
406,6138,1075,,,,
407,2425,1071,,,,
408,8415,1070,,,,
409,2359,1068,,,,
410,3005,1059,,,,
411,3521,1058,,,,
412,3169,1057,,,,
413,5227,1041,,,,
414,5706,1028,,,,
415,00734B,1013,,,,
416,2031,1007,,,,
417,4721,1003,,,,
418,1905,1000,,,,
419,896,999,,,,
420,1444,997,,,,
421,3163,984,,,,
422,2912,982,,,,
423,1312,980,,,,
424,00638R,980,,,,
425,6190,973,,,,
426,2385,972,,,,
427,4768,967,,,,
428,3059,961,,,,
429,2401,961,,,,
430,2482,958,,,,
431,700,950,,,,
432,00681R,949,,,,
433,4927,948,,,,
434,8081,942,,,,
435,1434,942,,,,
436,757,940,,,,
437,3025,934,,,,
438,1608,930,,,,
439,3587,925,,,,
440,6214,925,,,,
441,3027,920,,,,
442,3715,920,,,,
443,717,919,,,,
444,1539,911,,,,
445,877,911,,,,
446,1219,910,,,,
447,4726,909,,,,
448,662,908,,,,
449,1909,905,,,,
450,2489,904,,,,
451,00688L,902,,,,
452,1449,900,,,,
453,3491,889,,,,
454,2897,882,,,,
455,8183,881,,,,
456,2832,880,,,,
457,6756,868,,,,
458,4739,862,,,,
459,1342,861,,,,
460,4541,860,,,,
461,1337,854,,,,
462,2850,853,,,,
463,6278,852,,,,
464,2392,846,,,,
465,6712,839,,,,
466,898,839,,,,
467,3042,834,,,,
468,1305,834,,,,
469,6111,830,,,,
470,6706,828,,,,
471,9928,825,,,,
472,00654R,824,,,,
473,8105,823,,,,
474,2504,818,,,,
475,2360,816,,,,
476,3019,811,,,,
477,9921,807,,,,
478,4979,804,,,,
479,2736,803,,,,
480,2534,801,,,,
481,2101,789,,,,
482,2395,784,,,,
483,5251,776,,,,
484,00674R,775,,,,
485,646,769,,,,
486,2485,765,,,,
487,701,763,,,,
488,2617,762,,,,
489,1467,760,,,,
490,2108,756,,,,
491,6414,751,,,,
492,2204,742,,,,
493,6570,742,,,,
494,2022,737,,,,
495,3036,724,,,,
496,2538,724,,,,
497,2342,724,,,,
498,2104,719,,,,
499,9910,716,,,,
500,1313,712,,,,
501,2636,707,,,,
502,912,707,,,,
503,1447,702,,,,
504,2332,702,,,,
505,5371,699,,,,
506,1477,698,,,,
507,3708,695,,,,
508,2838,694,,,,
509,2537,694,,,,
510,3038,693,,,,
511,8938,692,,,,
512,3704,692,,,,
513,6244,691,,,,
514,3228,689,,,,
515,1410,689,,,,
516,2007,685,,,,
517,1904,682,,,,
518,908,679,,,,
519,3051,677,,,,
520,00682U,676,,,,
521,1590,675,,,,
522,4116,673,,,,
523,8049,672,,,,
524,2314,670,,,,
525,2731,670,,,,
526,00862B,668,,,,
527,1721,667,,,,
528,00795B,665,,,,
529,2030,658,,,,
530,6220,652,,,,
531,3592,644,,,,
532,4950,642,,,,
533,3293,642,,,,
534,6143,641,,,,
535,8436,637,,,,
536,00708L,636,,,,
537,8076,635,,,,
538,3033,632,,,,
539,6546,632,,,,
540,3520,630,,,,
541,1727,626,,,,
542,4763,624,,,,
543,6213,624,,,,
544,5546,618,,,,
545,6508,618,,,,
546,3022,615,,,,
547,909,614,,,,
548,3706,612,,,,
549,6191,600,,,,
550,1440,599,,,,
551,1476,597,,,,
552,6124,594,,,,
553,1442,593,,,,
554,1217,585,,,,
555,3624,582,,,,
556,8112,580,,,,
557,6237,579,,,,
558,4142,577,,,,
559,3265,575,,,,
560,1709,574,,,,
561,2486,572,,,,
562,899,571,,,,
563,1229,569,,,,
564,3041,568,,,,
565,8349,566,,,,
566,6715,562,,,,
567,2613,556,,,,
568,2851,551,,,,
569,5434,549,,,,
570,00864B,548,,,,
571,2611,547,,,,
572,901,545,,,,
573,3088,539,,,,
574,6451,536,,,,
575,5222,535,,,,
576,20023,532,,,,
577,6113,531,,,,
578,4432,529,,,,
579,3594,523,,,,
580,4536,522,,,,
581,8426,520,,,,
582,730,519,,,,
583,2501,518,,,,
584,2702,515,,,,
